Word scores
    513. jiber (score=0.1543)
    514. cruel (score=0.1543)
    515. luted (score=0.1541)
    516. shore (score=0.1540)
    517. limen (score=0.1539)
    518. snore (score=0.1537)
    519. shire (score=0.1534)
    520. grief (score=0.1533)
    521. spake (score=0.1532)
    522. shave (score=0.1530)
    523. sonly (score=0.1530)
    524. saucy (score=0.1529)
    525. osier (score=0.1529)
    526. store (score=0.1529)
    527. slide (score=0.1529)
    528. riven (score=0.1529)
    529. spite (score=0.1529)
    530. miked (score=0.1527)
    531. agley (score=0.1526)
    532. satin (score=0.1526)
    533. surge (score=0.1526)
    534. duper (score=0.1523)
    535. after (score=0.1523)
    536. cuber (score=0.1523)
    537. smote (score=0.1521)
    538. gibed (score=0.1521)
    539. waste (score=0.1521)
    540. wiped (score=0.1520)
    541. cause (score=0.1520)
    542. wifey (score=0.1519)
    543. stave (score=0.1519)
    544. stole (score=0.1519)
    545. manse (score=0.1519)
    546. slope (score=0.1516)
    547. smite (score=0.1515)
    548. slice (score=0.1515)
    549. mixed (score=0.1515)
    550. gluer (score=0.1514)
    551. shone (score=0.1514)
    552. hiked (score=0.1513)
    553. stile (score=0.1513)
    554. false (score=0.1513)
    555. serif (score=0.1510)
    556. hived (score=0.1509)
    557. anted (score=0.1508)
    558. shine (score=0.1508)
    559. clued (score=0.1507)
    560. spore (score=0.1506)
    561. liken (score=0.1505)
    562. toile (score=0.1503)
    563. stone (score=0.1503)
    564. slime (score=0.1502)
    565. pause (score=0.1502)
    566. liven (score=0.1501)
    567. spire (score=0.1500)
    568. ousel (score=0.1499)
    569. large (score=0.1499)
    570. score (score=0.1498)
    571. abled (score=0.1497)
    572. acned (score=0.1496)
    573. canoe (score=0.1495)
    574. muted (score=0.1495)
    575. axled (score=0.1492)
    576. pixel (score=0.1492)
    577. tubed (score=0.1492)
    578. fixed (score=0.1491)
    579. poise (score=0.1491)
    580. gimel (score=0.1490)
    581. solid (score=0.1490)
    582. swore (score=0.1488)
    583. nixed (score=0.1487)
    584. anger (score=0.1486)
    585. plyer (score=0.1480)
    586. buyer (score=0.1480)
    587. threw (score=0.1477)
    588. nuder (score=0.1477)
    589. smile (score=0.1476)
    590. gruel (score=0.1475)
    591. carve (score=0.1475)
    592. garde (score=0.1474)
    593. spine (score=0.1473)
    594. septa (score=0.1473)
    595. fumer (score=0.1473)
    596. older (score=0.1472)
    597. scone (score=0.1472)
    598. blued (score=0.1472)
    599. gluey (score=0.1470)
    600. sedan (score=0.1470)
    601. sepal (score=0.1470)
    602. acted (score=0.1469)
    603. barge (score=0.1469)
    604. jibed (score=0.1468)
    605. sepoy (score=0.1466)
    606. widen (score=0.1466)
    607. horse (score=0.1462)
    608. thief (score=0.1462)
    609. sitar (score=0.1461)
    610. onset (score=0.1460)
    611. gorse (score=0.1460)
    612. lapse (score=0.1459)
    613. huger (score=0.1459)
    614. orbed (score=0.1456)
    615. swine (score=0.1455)
    616. jived (score=0.1454)
    617. farce (score=0.1453)
    618. servo (score=0.1453)
    619. marge (score=0.1453)
    620. cubed (score=0.1448)
    621. suety (score=0.1446)
    622. salvo (score=0.1446)
    623. asker (score=0.1445)
    624. haute (score=0.1444)
    625. forte (score=0.1443)
    626. video (score=0.1443)
    627. crate (score=0.1442)
    628. poste (score=0.1441)
    629. amber (score=0.1440)
    630. inset (score=0.1440)
    631. worse (score=0.1439)
    632. serum (score=0.1439)
    633. glued (score=0.1439)
    634. table (score=0.1439)
    635. slant (score=0.1439)
    636. cadre (score=0.1439)
    637. given (score=0.1438)
    638. adieu (score=0.1438)
    639. silty (score=0.1436)
    640. teary (score=0.1436)
    641. snide (score=0.1435)
    642. ulcer (score=0.1433)
    643. sound (score=0.1433)
    644. softy (score=0.1431)
    645. duvet (score=0.1430)
    646. noise (score=0.1430)
    647. ogler (score=0.1430)
    648. unset (score=0.1430)
    649. rumen (score=0.1427)
    650. urged (score=0.1427)
    651. borne (score=0.1427)
    652. irked (score=0.1425)
    653. prate (score=0.1424)
    654. flyer (score=0.1424)
    655. shute (score=0.1424)
    656. inter (score=0.1422)
    657. padre (score=0.1421)
    658. owner (score=0.1420)
    659. range (score=0.1420)
    660. puked (score=0.1420)
    661. moire (score=0.1419)
    662. idler (score=0.1419)
    663. chief (score=0.1418)
    664. baize (score=0.1417)
    665. snipe (score=0.1416)
    666. lance (score=0.1416)
    667. least (score=0.1411)
    668. outen (score=0.1410)
    669. taupe (score=0.1409)
    670. wizen (score=0.1408)
    671. sepia (score=0.1408)
    672. klieg (score=0.1408)
    673. shear (score=0.1408)
    674. inlet (score=0.1408)
    675. peaty (score=0.1403)
    676. stoke (score=0.1403)
    677. maize (score=0.1402)
    678. dance (score=0.1401)
    679. sprue (score=0.1399)
    680. lumen (score=0.1399)
    681. upset (score=0.1398)
    682. fumed (score=0.1398)
    683. cable (score=0.1395)
    684. rouse (score=0.1393)
    685. noire (score=0.1391)
    686. south (score=0.1391)
    687. spice (score=0.1390)
    688. crane (score=0.1387)
    689. stair (score=0.1386)
    690. amped (score=0.1385)
    691. vixen (score=0.1385)
    692. calve (score=0.1385)
    693. route (score=0.1383)
    694. scope (score=0.1383)
    695. sedgy (score=0.1381)
    696. beast (score=0.1381)
    697. spoke (score=0.1380)
    698. laude (score=0.1380)
    699. owlet (score=0.1379)
    700. islet (score=0.1378)
    701. naive (score=0.1378)
    702. shove (score=0.1377)
    703. orate (score=0.1375)
    704. grate (score=0.1375)
    705. soupy (score=0.1375)
    706. spear (score=0.1374)
    707. spike (score=0.1374)
    708. deary (score=0.1373)
    709. arose (score=0.1373)
    710. guyed (score=0.1373)
    711. roast (score=0.1372)
    712. asked (score=0.1371)
    713. meaty (score=0.1370)
    714. waive (score=0.1369)
    715. stove (score=0.1367)
    716. arise (score=0.1366)
    717. smoke (score=0.1366)
    718. swipe (score=0.1366)
    719. louse (score=0.1365)
    720. maple (score=0.1364)
    721. shalt (score=0.1364)
    722. trade (score=0.1361)
    723. acked (score=0.1361)
    724. smear (score=0.1360)
    725. monte (score=0.1359)
    726. nuked (score=0.1359)
    727. shard (score=0.1358)
    728. typed (score=0.1356)
    729. angel (score=0.1356)
    730. swear (score=0.1356)
    731. ogled (score=0.1355)
    732. ached (score=0.1355)
    733. irate (score=0.1354)
    734. julep (score=0.1351)
    735. douse (score=0.1351)
    736. fuzed (score=0.1350)
    737. coast (score=0.1349)
    738. under (score=0.1348)
    739. voile (score=0.1347)
    740. scary (score=0.1347)
    741. dealt (score=0.1347)
    742. lathe (score=0.1347)
    743. trace (score=0.1347)
    744. surly (score=0.1346)
    745. mange (score=0.1346)
    746. owned (score=0.1346)
    747. leant (score=0.1345)
    748. party (score=0.1345)
    749. slain (score=0.1345)
    750. sonic (score=0.1343)
    751. aisle (score=0.1342)
    752. sahib (score=0.1342)
    753. feast (score=0.1342)
    754. laity (score=0.1340)
    755. koine (score=0.1337)
    756. scaly (score=0.1337)
    757. opted (score=0.1337)
    758. daisy (score=0.1336)
    759. plate (score=0.1332)
    760. aspen (score=0.1332)
    761. mealy (score=0.1331)
    762. olden (score=0.1329)
    763. gable (score=0.1328)
    764. horde (score=0.1327)
    765. smart (score=0.1326)
