Word scores
    406. braid (score=0.1705)
    407. frail (score=0.1705)
    408. morel (score=0.1701)
    409. feast (score=0.1701)
    410. pored (score=0.1700)
    411. gored (score=0.1700)
    412. saber (score=0.1700)
    413. adage (score=0.1700)
    414. salve (score=0.1700)
    415. steer (score=0.1700)
    416. pause (score=0.1699)
    417. arity (score=0.1698)
    418. mouse (score=0.1698)
    419. genie (score=0.1698)
    420. agape (score=0.1698)
    421. titre (score=0.1698)
    422. house (score=0.1698)
    423. tared (score=0.1697)
    424. slide (score=0.1696)
    425. pence (score=0.1696)
    426. baler (score=0.1696)
    427. phase (score=0.1695)
    428. genet (score=0.1694)
    429. coder (score=0.1693)
    430. least (score=0.1693)
    431. grout (score=0.1693)
    432. flame (score=0.1691)
    433. trash (score=0.1691)
    434. croak (score=0.1691)
    435. curse (score=0.1691)
    436. covet (score=0.1689)
    437. zooey (score=0.1688)
    438. awake (score=0.1688)
    439. novae (score=0.1687)
    440. caste (score=0.1686)
    441. roble (score=0.1686)
    442. shone (score=0.1685)
    443. print (score=0.1685)
    444. shoer (score=0.1685)
    445. bared (score=0.1684)
    446. sable (score=0.1684)
    447. stele (score=0.1684)
    448. sears (score=0.1683)
    449. coper (score=0.1683)
    450. crept (score=0.1682)
    451. tread (score=0.1682)
    452. there (score=0.1682)
    453. safer (score=0.1681)
    454. smote (score=0.1679)
    455. brash (score=0.1679)
    456. rower (score=0.1678)
    457. fence (score=0.1678)
    458. sieve (score=0.1678)
    459. sayer (score=0.1678)
    460. bogie (score=0.1678)
    461. elite (score=0.1677)
    462. bores (score=0.1677)
    463. rover (score=0.1677)
    464. algae (score=0.1677)
    465. agave (score=0.1677)
    466. seest (score=0.1676)
    467. sawer (score=0.1676)
    468. train (score=0.1676)
    469. saver (score=0.1675)
    470. comer (score=0.1675)
    471. crass (score=0.1674)
    472. cadet (score=0.1674)
    473. toner (score=0.1673)
    474. stile (score=0.1673)
    475. firer (score=0.1673)
    476. crazy (score=0.1672)
    477. pater (score=0.1672)
    478. direr (score=0.1672)
    479. piece (score=0.1672)
