Word scores
    325. copse (score=0.1586)
    326. dealt (score=0.1586)
    327. mouse (score=0.1584)
    328. ukase (score=0.1583)
    329. macer (score=0.1583)
    330. ovate (score=0.1583)
    331. laxer (score=0.1583)
    332. paver (score=0.1582)
    333. fader (score=0.1581)
    334. azine (score=0.1581)
    335. lacey (score=0.1581)
    336. rinse (score=0.1580)
    337. alter (score=0.1579)
    338. gaper (score=0.1578)
    339. super (score=0.1578)
    340. pawer (score=0.1577)
    341. flier (score=0.1577)
    342. guise (score=0.1576)
    343. facer (score=0.1576)
    344. gamer (score=0.1575)
    345. guile (score=0.1574)
    346. roble (score=0.1574)
    347. pared (score=0.1573)
    348. house (score=0.1573)
    349. agone (score=0.1571)
    350. style (score=0.1571)
    351. coney (score=0.1570)
    352. bared (score=0.1568)
    353. value (score=0.1568)
    354. baker (score=0.1568)
    355. panel (score=0.1564)
    356. alien (score=0.1564)
    357. gayer (score=0.1564)
    358. mauve (score=0.1563)
    359. feast (score=0.1563)
    360. stair (score=0.1562)
    361. facet (score=0.1560)
    362. clove (score=0.1560)
    363. monte (score=0.1560)
    364. meant (score=0.1559)
    365. wader (score=0.1558)
    366. loner (score=0.1558)
    367. gauze (score=0.1557)
    368. shalt (score=0.1557)
    369. shied (score=0.1556)
    370. litre (score=0.1556)
    371. coset (score=0.1554)
    372. coast (score=0.1552)
    373. stied (score=0.1551)
    374. roast (score=0.1551)
    375. quire (score=0.1550)
    376. namer (score=0.1549)
    377. hayer (score=0.1548)
    378. halve (score=0.1547)
    379. twine (score=0.1545)
    380. peaty (score=0.1545)
    381. weary (score=0.1545)
    382. wager (score=0.1544)
    383. throe (score=0.1543)
    384. poste (score=0.1543)
    385. gazer (score=0.1542)
    386. pried (score=0.1542)
    387. maker (score=0.1541)
    388. cruel (score=0.1541)
    389. shoed (score=0.1540)
    390. boner (score=0.1539)
    391. poler (score=0.1538)
    392. mazer (score=0.1537)
    393. horde (score=0.1537)
    394. purse (score=0.1536)
    395. mealy (score=0.1536)
    396. forge (score=0.1535)
    397. toper (score=0.1535)
    398. fared (score=0.1534)
    399. quake (score=0.1534)
    400. oared (score=0.1534)
    401. faker (score=0.1533)
    402. rouge (score=0.1533)
    403. caned (score=0.1533)
    404. salty (score=0.1532)
    405. saith (score=0.1532)
    406. camel (score=0.1532)
    407. prude (score=0.1532)
    408. badge (score=0.1531)
    409. rated (score=0.1530)
    410. faxer (score=0.1530)
    411. coder (score=0.1529)
    412. youse (score=0.1529)
    413. brant (score=0.1528)
    414. doter (score=0.1528)
    415. gamey (score=0.1527)
    416. meany (score=0.1527)
    417. hazer (score=0.1526)
    418. tiler (score=0.1526)
    419. coupe (score=0.1524)
    420. joule (score=0.1523)
    421. dolce (score=0.1523)
    422. sonar (score=0.1522)
    423. toyer (score=0.1521)
    424. waver (score=0.1520)
    425. phone (score=0.1520)
    426. goner (score=0.1517)
    427. solar (score=0.1517)
    428. wafer (score=0.1516)
    429. slued (score=0.1515)
    430. smart (score=0.1515)
    431. yeast (score=0.1515)
    432. anode (score=0.1515)
    433. sited (score=0.1515)
    434. coper (score=0.1514)
    435. meaty (score=0.1514)
    436. novae (score=0.1512)
    437. comer (score=0.1511)
    438. waker (score=0.1511)
    439. mitre (score=0.1511)
    440. ravel (score=0.1510)
    441. glide (score=0.1510)
    442. swart (score=0.1510)
    443. pearl (score=0.1510)
    444. loser (score=0.1510)
    445. slain (score=0.1509)
    446. paten (score=0.1508)
    447. biome (score=0.1508)
    448. tower (score=0.1508)
    449. waxer (score=0.1507)
    450. shyer (score=0.1507)
    451. grant (score=0.1506)
    452. whore (score=0.1506)
    453. trail (score=0.1504)
    454. vitae (score=0.1503)
    455. toker (score=0.1503)
    456. fried (score=0.1503)
    457. honer (score=0.1501)
    458. bogie (score=0.1500)
    459. coyer (score=0.1500)
    460. holer (score=0.1496)
    461. comet (score=0.1496)
    462. poser (score=0.1496)
    463. scary (score=0.1495)
    464. spied (score=0.1494)
    465. aider (score=0.1494)
    466. sowed (score=0.1493)
    467. ready (score=0.1492)
    468. alder (score=0.1492)
    469. dogie (score=0.1491)
    470. cover (score=0.1491)
    471. saucy (score=0.1490)
    472. shred (score=0.1489)
    473. quite (score=0.1489)
    474. bloke (score=0.1489)
    475. noter (score=0.1489)
    476. cutie (score=0.1488)
    477. cower (score=0.1487)
    478. cased (score=0.1485)
    479. twice (score=0.1484)
    480. while (score=0.1483)
    481. nurse (score=0.1483)
    482. cored (score=0.1483)
    483. morel (score=0.1482)
    484. doser (score=0.1481)
    485. shear (score=0.1481)
    486. poset (score=0.1480)
    487. scant (score=0.1479)
    488. aimer (score=0.1476)
    489. covet (score=0.1475)
    490. spume (score=0.1474)
    491. rainy (score=0.1474)
    492. whine (score=0.1474)
    493. quote (score=0.1473)
    494. boast (score=0.1472)
    495. bowie (score=0.1472)
    496. harem (score=0.1472)
    497. chide (score=0.1471)
    498. sadly (score=0.1471)
    499. learn (score=0.1470)
    500. vague (score=0.1470)
    501. dowse (score=0.1469)
    502. taken (score=0.1469)
    503. whose (score=0.1469)
    504. beaut (score=0.1469)
    505. oaten (score=0.1469)
    506. whole (score=0.1467)
    507. proem (score=0.1467)
    508. bract (score=0.1466)
    509. brief (score=0.1465)
    510. money (score=0.1464)
    511. knave (score=0.1463)
    512. amide (score=0.1463)
    513. voter (score=0.1463)
    514. olive (score=0.1462)
    515. chime (score=0.1461)
    516. white (score=0.1461)
    517. aside (score=0.1460)
    518. glove (score=0.1459)
    519. paned (score=0.1459)
    520. image (score=0.1459)
    521. skied (score=0.1458)
    522. globe (score=0.1458)
    523. rogue (score=0.1457)
    524. raven (score=0.1456)
    525. bagel (score=0.1456)
    526. scaly (score=0.1456)
    527. trued (score=0.1456)
    528. doxie (score=0.1454)
    529. snarl (score=0.1454)
    530. loper (score=0.1454)
    531. honey (score=0.1453)
    532. paled (score=0.1453)
    533. dirge (score=0.1452)
    534. bated (score=0.1452)
    535. savor (score=0.1451)
    536. leapt (score=0.1450)
    537. movie (score=0.1450)
    538. taped (score=0.1450)
    539. liner (score=0.1450)
    540. train (score=0.1450)
    541. abide (score=0.1450)
    542. baled (score=0.1448)
    543. holey (score=0.1448)
    544. crest (score=0.1448)
    545. liter (score=0.1448)
    546. azure (score=0.1448)
    547. unite (score=0.1447)
    548. rifle (score=0.1447)
    549. noble (score=0.1447)
    550. tamed (score=0.1447)
    551. tinge (score=0.1447)
    552. tilde (score=0.1447)
    553. aired (score=0.1447)
    554. tuner (score=0.1446)
    555. maybe (score=0.1444)
    556. buret (score=0.1444)
    557. grief (score=0.1443)
    558. covey (score=0.1443)
    559. usage (score=0.1443)
    560. flute (score=0.1443)
    561. toque (score=0.1442)
    562. sinew (score=0.1441)
    563. juice (score=0.1441)
    564. hoary (score=0.1439)
    565. gruel (score=0.1439)
    566. strep (score=0.1438)
    567. raced (score=0.1438)
    568. faery (score=0.1437)
    569. moxie (score=0.1437)
    570. arity (score=0.1436)
    571. chive (score=0.1436)
    572. laden (score=0.1436)
    573. dairy (score=0.1435)
    574. opine (score=0.1434)
    575. craft (score=0.1434)
    576. paint (score=0.1434)
    577. abode (score=0.1434)
    578. amuse (score=0.1432)
    579. livre (score=0.1431)
    580. lover (score=0.1431)
    581. gated (score=0.1430)
    582. caged (score=0.1430)
    583. bluer (score=0.1429)
    584. caped (score=0.1429)
    585. biter (score=0.1429)
    586. raged (score=0.1429)
    587. choke (score=0.1428)
    588. raped (score=0.1428)
    589. tiger (score=0.1428)
    590. maned (score=0.1427)
    591. lower (score=0.1426)
    592. guide (score=0.1426)
    593. quiet (score=0.1426)
    594. doper (score=0.1426)
    595. mated (score=0.1425)
    596. curve (score=0.1425)
    597. lased (score=0.1424)
    598. timer (score=0.1424)
    599. great (score=0.1424)
    600. gwine (score=0.1423)
    601. cuter (score=0.1423)
    602. shoat (score=0.1422)
    603. diner (score=0.1421)
    604. cider (score=0.1421)
    605. acute (score=0.1420)
    606. trash (score=0.1419)
    607. spear (score=0.1419)
    608. abuse (score=0.1418)
    609. fated (score=0.1418)
    610. cameo (score=0.1418)
    611. pulse (score=0.1416)
    612. mosey (score=0.1416)
    613. chute (score=0.1416)
    614. awoke (score=0.1414)
    615. hated (score=0.1414)
    616. beady (score=0.1414)
    617. taxed (score=0.1414)
    618. shrew (score=0.1414)
    619. rayed (score=0.1414)
    620. arced (score=0.1413)
    621. power (score=0.1412)
    622. satyr (score=0.1412)
    623. sitar (score=0.1412)
    624. sandy (score=0.1412)
    625. tuple (score=0.1411)
    626. haled (score=0.1411)
    627. snail (score=0.1411)
    628. gavel (score=0.1410)
    629. fairy (score=0.1410)
    630. carny (score=0.1409)
    631. moper (score=0.1408)
    632. strew (score=0.1408)
    633. pored (score=0.1408)
    634. gluer (score=0.1408)
    635. poker (score=0.1408)
    636. bower (score=0.1407)
    637. ligne (score=0.1407)
    638. hairy (score=0.1407)
    639. leaky (score=0.1406)
    640. selah (score=0.1406)
    641. caved (score=0.1406)
    642. based (score=0.1405)
    643. teach (score=0.1405)
    644. raved (score=0.1405)
    645. beamy (score=0.1404)
    646. miner (score=0.1404)
    647. adobe (score=0.1404)
    648. bored (score=0.1403)
    649. mince (score=0.1403)
    650. satin (score=0.1403)
    651. miter (score=0.1402)
    652. dulse (score=0.1402)
    653. laity (score=0.1402)
    654. cawed (score=0.1402)
    655. smear (score=0.1401)
    656. armed (score=0.1400)
    657. beard (score=0.1399)
    658. miler (score=0.1399)
    659. boxer (score=0.1399)
    660. leafy (score=0.1399)
    661. crash (score=0.1399)
    662. dower (score=0.1398)
    663. above (score=0.1398)
    664. sepal (score=0.1398)
    665. shirt (score=0.1398)
    666. daisy (score=0.1398)
    667. hoper (score=0.1397)
    668. waned (score=0.1397)
    669. caked (score=0.1397)
    670. finer (score=0.1397)
    671. leash (score=0.1396)
    672. daily (score=0.1396)
    673. raked (score=0.1396)
    674. swear (score=0.1395)
    675. tired (score=0.1395)
    676. sonly (score=0.1395)
    677. faint (score=0.1395)
    678. homer (score=0.1395)
    679. slang (score=0.1394)
    680. angle (score=0.1394)
    681. nosey (score=0.1394)
    682. early (score=0.1394)
    683. auger (score=0.1394)
    684. peaky (score=0.1392)
    685. fibre (score=0.1392)
    686. waled (score=0.1392)
    687. razed (score=0.1392)
    688. spacy (score=0.1391)
    689. filer (score=0.1391)
    690. oiler (score=0.1391)
    691. toady (score=0.1390)
    692. deist (score=0.1390)
    693. trial (score=0.1390)
    694. dozer (score=0.1390)
    695. latex (score=0.1389)
    696. crazy (score=0.1389)
    697. toned (score=0.1389)
    698. suety (score=0.1388)
    699. piney (score=0.1388)
    700. bogey (score=0.1388)
    701. beaky (score=0.1387)
    702. foyer (score=0.1387)
    703. zowie (score=0.1386)
    704. gofer (score=0.1386)
    705. sepoy (score=0.1386)
    706. mover (score=0.1385)
    707. lodge (score=0.1385)
    708. navel (score=0.1384)
    709. gaily (score=0.1383)
    710. waist (score=0.1383)
    711. reach (score=0.1383)
    712. short (score=0.1382)
    713. hazel (score=0.1382)
    714. grail (score=0.1382)
    715. gored (score=0.1381)
    716. mower (score=0.1381)
    717. alert (score=0.1381)
    718. purge (score=0.1381)
    719. groat (score=0.1381)
    720. niter (score=0.1381)
    721. ruble (score=0.1380)
    722. realm (score=0.1380)
    723. sweat (score=0.1380)
    724. vaned (score=0.1379)
    725. lucre (score=0.1379)
    726. laced (score=0.1379)
    727. dopey (score=0.1378)
    728. heady (score=0.1377)
    729. sized (score=0.1377)
    730. shady (score=0.1376)
    731. filet (score=0.1376)
    732. salon (score=0.1375)
    733. shaft (score=0.1374)
    734. hover (score=0.1374)
    735. prest (score=0.1373)
    736. cairn (score=0.1373)
    737. wince (score=0.1373)
    738. oldie (score=0.1371)
    739. snort (score=0.1370)
    740. frail (score=0.1369)
    741. yearn (score=0.1369)
    742. coned (score=0.1368)
    743. civet (score=0.1367)
    744. rivet (score=0.1366)
    745. bodge (score=0.1366)
    746. motel (score=0.1366)
    747. lamed (score=0.1366)
    748. plied (score=0.1365)
    749. stagy (score=0.1365)
    750. feist (score=0.1365)
    751. paced (score=0.1365)
    752. clear (score=0.1365)
    753. stain (score=0.1364)
    754. towel (score=0.1363)
    755. slept (score=0.1363)
    756. blast (score=0.1363)
    757. heard (score=0.1362)
    758. heist (score=0.1361)
    759. ankle (score=0.1361)
    760. crony (score=0.1361)
    761. plait (score=0.1361)
    762. shard (score=0.1361)
    763. ganef (score=0.1360)
    764. gluey (score=0.1360)
    765. pokey (score=0.1360)
    766. diary (score=0.1360)
    767. sedan (score=0.1359)
    768. brent (score=0.1358)
    769. plant (score=0.1357)
    770. miser (score=0.1356)
    771. aster (score=0.1355)
    772. paged (score=0.1355)
    773. serif (score=0.1355)
    774. hotel (score=0.1355)
    775. dovey (score=0.1354)
    776. feint (score=0.1354)
    777. fogey (score=0.1353)
    778. slack (score=0.1353)
    779. osier (score=0.1353)
    780. maven (score=0.1352)
    781. viler (score=0.1351)
    782. brain (score=0.1350)
    783. shaky (score=0.1349)
    784. cleat (score=0.1349)
    785. binge (score=0.1347)
    786. homey (score=0.1347)
    787. plume (score=0.1346)
    788. laved (score=0.1345)
    789. glary (score=0.1345)
    790. screw (score=0.1345)
    791. draft (score=0.1345)
    792. peony (score=0.1345)
    793. story (score=0.1344)
    794. death (score=0.1344)
    795. beano (score=0.1342)
    796. bider (score=0.1342)
    797. abler (score=0.1341)
    798. bilge (score=0.1341)
    799. heavy (score=0.1341)
    800. lithe (score=0.1341)
    801. haven (score=0.1341)
    802. payed (score=0.1340)
    803. drain (score=0.1340)
    804. inure (score=0.1340)
    805. after (score=0.1340)
    806. chart (score=0.1339)
    807. flair (score=0.1338)
    808. canst (score=0.1337)
    809. snaky (score=0.1337)
    810. ridge (score=0.1336)
    811. bayed (score=0.1336)
    812. print (score=0.1335)
    813. relay (score=0.1335)
    814. dunce (score=0.1335)
    815. oaken (score=0.1335)
    816. crank (score=0.1334)
    817. stray (score=0.1333)
    818. deity (score=0.1333)
    819. maced (score=0.1333)
    820. vower (score=0.1333)
    821. graft (score=0.1333)
    822. tuber (score=0.1333)
    823. lazed (score=0.1333)
    824. kraut (score=0.1332)
    825. gnome (score=0.1332)
    826. giant (score=0.1332)
    827. paved (score=0.1331)
    828. steal (score=0.1331)
    829. gaped (score=0.1328)
    830. grain (score=0.1328)
    831. dicer (score=0.1328)
    832. pawed (score=0.1327)
    833. ailed (score=0.1327)
    834. bidet (score=0.1326)
    835. flied (score=0.1326)
    836. winey (score=0.1326)
    837. wiser (score=0.1326)
    838. tansy (score=0.1326)
    839. faced (score=0.1326)
    840. ample (score=0.1325)
    841. gamed (score=0.1325)
    842. anger (score=0.1325)
    843. shlep (score=0.1324)
    844. spelt (score=0.1324)
    845. leach (score=0.1324)
    846. liver (score=0.1322)
    847. shark (score=0.1322)
    848. trawl (score=0.1321)
    849. party (score=0.1321)
    850. sport (score=0.1320)
    851. grist (score=0.1319)
    852. brash (score=0.1319)
    853. grapy (score=0.1319)
    854. lifer (score=0.1319)
    855. roily (score=0.1318)
    856. inode (score=0.1318)
    857. shiny (score=0.1318)
    858. baked (score=0.1317)
    859. joker (score=0.1317)
    860. hokey (score=0.1317)
    861. muter (score=0.1317)
    862. xored (score=0.1317)
    863. amble (score=0.1317)
    864. stark (score=0.1316)
    865. surly (score=0.1316)
    866. plyer (score=0.1316)
    867. sharp (score=0.1315)
    868. spent (score=0.1315)
    869. dimer (score=0.1315)
    870. liker (score=0.1313)
    871. spued (score=0.1313)
    872. famed (score=0.1313)
    873. waken (score=0.1313)
    874. staid (score=0.1312)
    875. cuber (score=0.1312)
    876. wrest (score=0.1312)
    877. bugle (score=0.1312)
    878. tread (score=0.1311)
    879. chair (score=0.1311)
    880. sorta (score=0.1310)
    881. ounce (score=0.1310)
    882. peach (score=0.1310)
    883. snark (score=0.1310)
    884. hinge (score=0.1309)
    885. scent (score=0.1309)
    886. sprat (score=0.1309)
    887. outer (score=0.1309)
    888. waxen (score=0.1309)
    889. slimy (score=0.1309)
    890. stand (score=0.1308)
    891. flume (score=0.1307)
    892. chary (score=0.1306)
    893. older (score=0.1306)
    894. smelt (score=0.1306)
    895. kyrie (score=0.1305)
    896. neath (score=0.1305)
    897. vogue (score=0.1305)
    898. beach (score=0.1305)
    899. hider (score=0.1304)
    900. token (score=0.1304)
    901. weald (score=0.1304)
    902. tenor (score=0.1302)
    903. duple (score=0.1302)
    904. cedar (score=0.1301)
    905. furze (score=0.1300)
    906. crawl (score=0.1300)
    907. skirt (score=0.1300)
    908. piker (score=0.1299)
    909. gravy (score=0.1299)
    910. merit (score=0.1299)
    911. loamy (score=0.1299)
    912. named (score=0.1299)
    913. hayed (score=0.1298)
    914. briny (score=0.1298)
    915. braid (score=0.1298)
    916. prosy (score=0.1298)
    917. drily (score=0.1298)
    918. spilt (score=0.1297)
    919. stony (score=0.1296)
    920. giber (score=0.1296)
    921. limey (score=0.1295)
    922. biker (score=0.1295)
    923. diver (score=0.1294)
    924. waged (score=0.1294)
    925. bairn (score=0.1294)
    926. brand (score=0.1293)
    927. shoal (score=0.1293)
    928. track (score=0.1293)
    929. doest (score=0.1293)
    930. coven (score=0.1293)
    931. resay (score=0.1292)
    932. gazed (score=0.1292)
    933. agley (score=0.1292)
    934. carol (score=0.1291)
    935. chant (score=0.1291)
    936. frost (score=0.1291)
    937. tardy (score=0.1290)
    938. fluke (score=0.1290)
    939. cured (score=0.1289)
    940. boned (score=0.1289)
    941. nicer (score=0.1289)
    942. poled (score=0.1288)
    943. mazed (score=0.1287)
    944. wider (score=0.1285)
    945. blear (score=0.1285)
    946. toped (score=0.1285)
    947. hawed (score=0.1285)
    948. wrist (score=0.1285)
    949. triad (score=0.1284)
    950. fiber (score=0.1284)
    951. swain (score=0.1283)
    952. faked (score=0.1283)
    953. crept (score=0.1282)
    954. giver (score=0.1282)
    955. untie (score=0.1281)
    956. veiny (score=0.1281)
    957. neato (score=0.1281)
    958. lunge (score=0.1280)
    959. front (score=0.1280)
    960. goest (score=0.1280)
    961. cozen (score=0.1280)
    962. faxed (score=0.1280)
    963. dicey (score=0.1280)
    964. fazed (score=0.1279)
    965. model (score=0.1279)
    966. stalk (score=0.1278)
    967. ulcer (score=0.1277)
    968. sedgy (score=0.1277)
    969. artsy (score=0.1277)
    970. flyer (score=0.1277)
    971. snarf (score=0.1277)
    972. feuar (score=0.1277)
    973. spray (score=0.1276)
    974. hazed (score=0.1276)
    975. tiled (score=0.1275)
    976. sward (score=0.1275)
    977. board (score=0.1275)
    978. pleat (score=0.1275)
    979. poesy (score=0.1274)
    980. shank (score=0.1274)
    981. nudie (score=0.1273)
    982. grand (score=0.1272)
